Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.119-52.182.143.209-51979-443-6,192.168.0.119,51979,52.182.143.209,443,6,05-01-2024 07:56,5358546,13,15,2010,7015,681,0,154.6153846,260.3521777,1440,0,467.6666667,627.7318202,1684.225534,5.225298057,198464.6667,667099.4655,3477596,0,5114456,426204.6667,976222.0656,3477596,182,1836369,131169.2143,153256.7892,456726,0,0,0,0,0,260,324,2.426031241,2.799266816,0,1440,311.2068966,504.015191,254031.3128,0,1,0,0,0,0,0,0,1,322.3214286,154.6153846,467.6666667,0,0,0,0,0,0,13,2010,15,7015,-1,16383,6,0,0,0,0,0,0,0,0,0,No Label
192.168.0.119-52.182.143.209-51990-443-6,192.168.0.119,51990,52.182.143.209,443,6,05-01-2024 07:56,3518575,26,27,21896,6925,1440,0,842.1538462,660.3533413,1440,0,256.4814815,517.3701524,8191.10009,15.0629161,67664.90385,311918.8087,2212793,-1,3274842,130993.68,444806.8404,2212793,0,1253705,48219.42308,99064.74023,255300,0,0,0,0,0,520,564,7.389355066,7.67356103,0,1440,533.7222222,654.3707742,428201.1101,0,1,0,0,0,0,0,0,1,543.7924528,842.1538462,256.4814815,0,0,0,0,0,0,26,21896,27,6925,-1,16385,20,0,0,0,0,0,0,0,0,0,No Label
192.168.0.119-20.190.145.160-52018-443-6,192.168.0.119,52018,20.190.145.160,443,6,05-01-2024 07:56,413947,15,21,7466,20608,1440,0,497.7333333,644.4914348,1440,0,981.3333333,650.9075459,67820.27651,86.96765528,11827.05714,52133.1907,309020,0,397585,28398.92857,86109.41246,325825,0,413947,20697.35,68777.06602,309020,0,0,0,0,0,300,444,36.23652303,50.73113225,0,1440,758.7567568,685.7039937,470189.967,0,1,0,0,0,0,0,0,1,779.8333333,497.7333333,981.3333333,0,0,0,0,0,0,15,7466,21,20608,-1,16385,8,0,0,0,0,0,0,0,0,0,No Label
192.168.0.119-20.190.145.160-52018-443-6,192.168.0.119,52018,20.190.145.160,443,6,05-01-2024 07:56,1910,2,1,31,0,31,0,15.5,21.92031022,0,0,0,0,16230.36649,1570.680628,955,1216.223664,1815,95,95,95,0,95,95,0,0,0,0,0,0,0,0,0,40,20,1047.120419,523.5602094,0,31,7.75,15.5,240.25,0,0,0,0,1,0,0,0,0,10.33333333,15.5,0,0,0,0,0,0,0,2,31,1,0,-1,517,1,0,0,0,0,0,0,0,0,0,No Label
192.168.0.119-13.126.70.76-52023-443-6,192.168.0.119,52023,13.126.70.76,443,6,05-01-2024 07:56,7257706,15,18,6511,6887,1440,0,434.0666667,645.9656632,1440,0,382.6111111,589.2982006,1846.037853,4.546891263,226803.3125,1247423.608,7062413,0,7225060,516075.7143,1884319.878,7062413,0,148695,8746.764706,14650.60385,36425,0,0,0,0,0,300,384,2.066768756,2.480122507,0,1440,394.0588235,601.1878112,361426.7843,0,1,0,0,0,0,0,0,1,406,434.0666667,382.6111111,0,0,0,0,0,0,15,6511,18,6887,-1,20,8,0,0,0,0,0,0,0,0,0,No Label
192.168.0.119-13.126.70.76-52022-443-6,192.168.0.119,52022,13.126.70.76,443,6,05-01-2024 07:56,7258222,16,19,6527,6887,1440,0,407.9375,632.8093414,1440,0,362.4736842,579.3826569,1848.111011,4.822117593,213477.1176,1042751.216,6029821,0,7225215,481681,1557341.393,6029821,0,1228334,68240.77778,251700.3266,1075106,0,0,0,0,0,320,404,2.204396614,2.617720979,0,1440,372.6111111,590.6362322,348851.1587,0,1,0,0,0,0,0,0,1,383.2571429,407.9375,362.4736842,0,0,0,0,0,0,16,6527,19,6887,-1,21,8,0,0,0,0,0,0,0,0,0,No Label
192.168.0.119-13.126.70.76-52024-443-6,192.168.0.119,52024,13.126.70.76,443,6,05-01-2024 07:56,7233387,17,21,10636,7207,1440,0,625.6470588,699.4972249,1440,0,343.1904762,555.3241953,2466.755892,5.253417244,195496.9459,984534.5667,5935288,0,7194717,449669.8125,1485007.387,5935288,0,1298010,64900.5,241939.1212,1090257,0,0,0,0,0,340,444,2.350212978,2.903204267,0,1440,457.5128205,627.4592825,393705.1511,0,1,0,0,0,0,0,0,1,469.5526316,625.6470588,343.1904762,0,0,0,0,0,0,17,10636,21,7207,-1,22,11,0,0,0,0,0,0,0,0,0,No Label
192.168.0.119-13.126.70.76-52020-443-6,192.168.0.119,52020,13.126.70.76,443,6,05-01-2024 07:56,7258994,18,21,9388,7207,1440,0,521.5555556,679.4908321,1440,0,343.1904762,555.3241953,2286.129455,5.3726453,191026.1579,971156.9546,5932549,0,7222842,424873.0588,1440934.723,5932549,0,1326402,66320.1,239225.1515,1078392,0,0,0,0,0,360,444,2.479682446,2.892962854,0,1440,414.875,609.7838704,371836.3686,0,1,0,0,0,0,0,0,1,425.5128205,521.5555556,343.1904762,0,0,0,0,0,0,18,9388,21,7207,-1,22,11,0,0,0,0,0,0,0,0,0,No Label
192.168.0.119-13.126.70.76-52025-443-6,192.168.0.119,52025,13.126.70.76,443,6,05-01-2024 07:56,7215950,17,19,6495,6887,1440,0,382.0588235,620.0021644,1440,0,362.4736842,579.3826569,1854.502872,4.988948094,206170,1008923.714,5916973,0,7181085,448817.8125,1480580.322,5916973,0,1298924,72162.44444,254115.4593,1085865,0,0,0,0,0,340,404,2.355892156,2.633055939,0,1440,361.6756757,585.2502814,342517.8919,0,1,0,0,0,0,0,0,1,371.7222222,382.0588235,362.4736842,0,0,0,0,0,0,17,6495,19,6887,-1,14,8,0,0,0,0,0,0,0,0,0,No Label
192.168.0.119-13.126.70.76-52021-443-6,192.168.0.119,52021,13.126.70.76,443,6,05-01-2024 07:56,7258784,22,23,12341,7527,1440,0,560.9545455,691.5242293,1440,0,327.2608696,534.2871391,2737.097563,6.199385462,164972.3636,897920.4136,5896528,0,7222977,343951.2857,1292079.048,5896528,0,1362207,61918.5,230236.5386,1089654,0,0,0,0,0,440,484,3.03081067,3.168574792,0,1440,431.9130435,616.9330173,380606.3478,0,1,0,0,0,0,0,0,1,441.5111111,560.9545455,327.2608696,0,0,0,0,0,0,22,12341,23,7527,-1,27,14,0,0,0,0,0,0,0,0,0,No Label
